**** BEGIN LOGGING AT Thu Jul 26 13:38:16 2018

Jul 26 13:40:15 <utkarsh2102>	Anyone up?
Jul 26 13:40:35 <utkarsh2102>	Philomath?
Jul 26 13:56:48 *	Disconnected (Connection timed out)
**** ENDING LOGGING AT Thu Jul 26 13:56:48 2018

**** BEGIN LOGGING AT Thu Jul 26 15:11:33 2018

Jul 26 15:11:33 *	Now talking on #dgplug
Jul 26 15:11:33 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 26 15:11:33 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 26 15:11:33 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
**** BEGIN LOGGING AT Thu Jul 26 15:11:37 2018

Jul 26 15:11:37 *	Now talking on #dgplug
Jul 26 15:11:37 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 26 15:11:37 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 26 15:11:37 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 26 15:11:39 <jasonbraganza>	BhaveshSGupta[m], i envy that guy! he took a Ferrari and gave you a Fiat Punto
Jul 26 15:11:39 <jasonbraganza>	BhaveshSGupta[m], i envy that guy! he took a Ferrari and gave you a Fiat Punto
**** ENDING LOGGING AT Thu Jul 26 15:11:44 2018

Jul 26 15:12:18 <utkarsh2102>	Hello.
Jul 26 15:12:33 *	ChanServ gives channel operator status to saptaks
Jul 26 15:12:41 <storymode7>	utkarsh2102: o/
Jul 26 15:13:25 <BhaveshSGupta[m]>	kushal, right now not that much, maybe 30-40k.
Jul 26 15:13:25 <philomath>	fhackdroid, there?
Jul 26 15:13:40 <jasonbraganza>	BhaveshSGupta[m], that’s more than enough!
Jul 26 15:13:48 <BhaveshSGupta[m]>	jasonbraganza, exactly.
Jul 26 15:14:20 <BhaveshSGupta[m]>	jasonbraganza, He took my ferrari.
Jul 26 15:14:24 <jasonbraganza>	XD
Jul 26 15:14:53 <storymode7>	The monk who lost his Ferrari.
Jul 26 15:15:21 <storymode7>	BhaveshSGupta[m]: I know that feeling!
Jul 26 15:15:53 <BhaveshSGupta[m]>	jasonbraganza, I have been looking for laptop for months now, I think I found one lenovo one, which has i5-8250 and 4gb ram with 1TB of hdd. costing near to 35
Jul 26 15:16:22 <jasonbraganza>	BhaveshSGupta[m], check virt supprt on that cpu again :)
Jul 26 15:16:46 <jasonbraganza>	what lenovo model?
Jul 26 15:19:28 <philomath>	BhaveshSGupta[m], If it helps. I recently bought lenovo ideapad 320 15ABR for 25k. It has AMD12 processor and working fine for me :)
Jul 26 15:19:51 <priyankasaggu119>	kushal, jasonbraganza, is there any Linux Palmtop available in the market for around 10K?
Jul 26 15:20:06 <jasonbraganza>	priyankasaggu119, what would you use it for?
Jul 26 15:20:17 <jasonbraganza>	priyankasaggu119 also not to the best of my knowledge
Jul 26 15:20:57 <priyankasaggu119>	for simple graphics editing, some surfing while travelling. light work.
Jul 26 15:21:21 <jasonbraganza>	priyankasaggu119, aah a small laptop
Jul 26 15:21:33 <priyankasaggu119>	yes, jasonbraganza :)
Jul 26 15:21:42 <philomath>	priyankasaggu119, I believe Tablet might help your use case.
Jul 26 15:22:08 <jasonbraganza>	priyankasaggu119, yea a largish android tablet
Jul 26 15:22:29 <priyankasaggu119>	philomath, I have never extensively used tablets, nor do I know whether or not I can install Linux on that.
Jul 26 15:23:13 <priyankasaggu119>	ohk jasonbraganza, lemme check it. I will buy it on my very first salary :)
Jul 26 15:23:19 <philomath>	priyankasaggu119, Neither do I. But Tablets are powered by android, so basically linux powered
Jul 26 15:23:33 <jasonbraganza>	priyankasaggu119, if this is to be your primary computer, I’d suggest you save your pennies a while longer and buy a cheap laptop.
Jul 26 15:23:48 <BhaveshSGupta[m]>	jasonbraganza, Lenovo Notebook IP 330-15IKB (81DE012BIN) (Intel Core i5 (8th Gen)/8GB/ 1TB HDD/15.6" HD (39.62cm)/DOS) (Onyx Black)
Jul 26 15:23:55 <priyankasaggu119>	no jasonbraganza, it is not my primary computer.
Jul 26 15:24:01 <jasonbraganza>	aaah then ok
Jul 26 15:24:53 <philomath>	priyankasaggu119, Also, If you have time, you can make one using raspberry pi, touch screen and other attachments. (I planned to make one months ago)
Jul 26 15:25:20 <BhaveshSGupta[m]>	kushal, Lenovo Notebook IP 330-15IKB (81DE012BIN) (Intel Core i5 (8th Gen)/8GB/ 1TB HDD/15.6" HD (39.62cm)/DOS) (Onyx Black), this seems to fit into my budget.
Jul 26 15:25:47 <priyankasaggu119>	philomath, you must have followed some resources for working on that. Tell me, I will try for sure.
Jul 26 15:26:58 <jasonbraganza>	BhaveshSGupta[m] Intel® Virtualization Technology (VT-x) ‡ Yes :)
Jul 26 15:27:11 <philomath>	priyankasaggu119, Not much. I read a little on that. Here is a link that might help: https://makezine.com/2014/01/07/how-i-built-a-raspberry-pi-tablet/
Jul 26 15:27:43 <priyankasaggu119>	Thank you, philomath.
Jul 26 15:27:55 <philomath>	But I think, that would consume too much of the time. So i would do it as a side project or so.
