a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.47-1
acl 2.2.52-4
acpi 1.7-2
acpid 2.0.29-2
adapta-maia-theme 3.93.1.12-1
adwaita-icon-theme 3.28.0-1
alsa-firmware 1.0.29-1
alsa-lib 1.1.6-1
alsa-plugins 1.1.6-1
alsa-utils 1.1.6-1
apache 2.4.33-3
appstream-glib 0.7.7-1
apr 1.6.3-1
apr-util 1.6.1-2
arc-maia-icon-theme 20161122-3
archlinux-appstream-data 20180424-1
archlinux-keyring 20180404-1
argon2 20171227-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-3
avahi 0.7+4+gd8d8c67-1
b43-fwcutter 019-1
baobab 3.28.0-1
bash 4.4.019-1
bc 1.07.1-1
bijiben 3.28.1-1
blueman 2.0.5-2
bluez 5.49-3
bluez-libs 5.49-3
boost-libs 1.66.0-2
brasero 3.12.2-2
brotli 1.0.4-1
btrfs-progs 4.16-2
bubblewrap 0.2.1-1
bzip2 1.0.6-7
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.36.1-1
ca-certificates-utils 20170307-1
cairo 1.15.12-1
cairomm 1.12.2-2
cantarell-fonts 1:0.101-1
cdparanoia 10.2-5
cdrdao 1.2.3-10
cdrtools 3.02a09-1
celt 0.11.3-3
cheese 3.28.0-1
chromaprint 1.4.3-1
chrome-gnome-shell 10.1-1
cifs-utils 6.7-2
ckbcomp 1.175-1
clucene 2.3.3.4-9
clutter 1.26.2-1
clutter-gst 3.0.26-1
clutter-gtk 1.8.4-1
cogl 1.22.2+11+g811f285a-1
colord 1.4.3-1
colord-gtk 0.1.26+5+ga9d9c91-1
colord-sane 1.4.3-1
coreutils 8.29-1
cpupower 4.16-1
cracklib 2.9.6-1
crda 4.14-1
cronie 1.5.1-1
cryptsetup 2.0.3-1
cups 2.2.7-2
cups-filters 1.20.3-2
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-1
curl 7.59.0-2
db 5.3.28-3
dbus 1.12.8-1
dbus-glib 0.110-1
dconf 0.28.0-1
dconf-editor 3.28.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.177-5
dhclient 4.4.1-4
dhcpcd 7.0.4-1
diffutils 3.6-1
ding-libs 0.6.1-1
djvulibre 3.5.27-3
dmidecode 3.1-2
dmraid 1.0.0.rc16.3-10
dnsmasq 2.79-1
dnssec-anchors 20170711-1
dosfstools 4.1-1
double-conversion 3.0.0-1
dunstify 1.2.0-1
dvd+rw-tools 7.1-7
e2fsprogs 1.44.1-1
ecryptfs-utils 111-2
efibootmgr 15-1
efivar 34-1
empathy 3.25.90+34+g78f4d4fda-3
enchant 2.2.3-1
evince 3.28.2-1
evolution 3.28.1-1
evolution-data-server 3.28.1-1
exfat-utils 1.2.8-1
exiv2 0.26-2
expac 8-1
expat 2.2.5-1
f2fs-tools 1.10.0-1
faac 1.29.9.2-1
faad2 2.8.8-1
faba-icon-theme 1:4.1.2-1
fakeroot 1.22-1
farstream 0.2.8-1
ffmpeg 1:3.4.2-2
ffmpegthumbnailer 2.2.0-1
fftw 3.3.7-1
file 5.33-1
file-roller 3.28.0-1
filesystem 2018.1-3
findutils 4.6.0-2
firefox 59.0.2-2
flac 1.3.2-1
folks 0.11.4+26+g2c992227-1
fontconfig 2.13.0+10+g58f5285-1
foomatic-db-engine 4:4.0.13-1
freeglut 3.0.0-2
freetype2 2.9.1-1
fribidi 1.0.2-1
fuse-common 3.2.2-2
fuse2 2.9.7-4
fzf 0.17.3-2
gamin 0.1.10-8
gawk 4.2.1-1
gcab 1.0+2+gc0947f6-1
gcc-libs 7.3.1+20180406-1
gconf 3.2.6+11+g07808097-3
gcr 3.28.0-3
gd 2.2.5-1
gdbm 1.14.1-1
gdk-pixbuf2 2.36.12-1
gdm 3.28.1-1
gedit 3.28.1-1
geoclue2 2.4.7-1
geocode-glib 3.25.4.1-1
gettext 0.19.8.1-2
gfbgraph 0.2.3+10+gbc03c1f-1
ghostscript 9.23-1
giflib 5.1.4-1
gjs 1:1.52.3-1
glew 2.1.0-1
glib-networking 2.56.0-1
glib2 2.56.1-1
glibc 2.27-2
glibmm 2.56.0-1
glu 9.0.0-4
gmime3 3.2.0-1
gmp 6.1.2-1
gnome-autoar 0.2.3-1
gnome-backgrounds 3.28.0-1
gnome-bluetooth 3.28.0-1
gnome-calculator 3.28.1-1
gnome-calendar 3.28.2-1
gnome-characters 3.28.0-1
gnome-clocks 3.28.0+1+gecbbce8-1
gnome-color-manager 3.28.0-1
gnome-contacts 3.28.1-1
gnome-control-center 3.28.1-1
gnome-desktop 1:3.28.1+3+g436ca8f0-1
gnome-disk-utility 3.28.1-1
gnome-font-viewer 3.28.0-1
gnome-getting-started-docs 3.28.1-1
gnome-keyring 1:3.28.0.2-1
gnome-maps 3.28.1-1
gnome-menus 3.13.3+30+g510ef1c-1
gnome-online-accounts 3.27.92+3+gdde33649-1
gnome-screenshot 3.26.0-1
gnome-session 3.28.1-1
gnome-settings-daemon 3.28.1-1
gnome-shell 3.28.1-1
gnome-shell-extension-appindicator 17.10.2-1
gnome-shell-extension-arc-menu 17-3
gnome-shell-extension-dash-to-dock 63-1
gnome-shell-extension-manjaro-update 5-1
gnome-shell-extension-openweather 1.0.r194.ga86b949-1
gnome-shell-extension-taskbar 57.0-1
gnome-shell-extensions 3.28.1-1
gnome-system-log 3.9.90+160+g4b07190-1
gnome-system-monitor 3.28.1-1
gnome-terminal 3.28.1-1
gnome-themes-extra 3.28-1
gnome-todo 3.28.1-1
gnome-tweaks 3.28.1-1
gnome-user-docs 3.28.1-1
gnome-user-share 3.28.0-1
gnome-wallpapers 20171025-1
gnome-weather 3.26.0-1
gnupg 2.2.6-1
gnutls 3.5.18-1
gobject-introspection-runtime 1.56.1-1
gom 0.3.3-1
gparted 0.31.0-1
gpgme 1.11.1-1
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphene 1.8.0-1
graphite 1:1.3.11-1
grep 3.1-1
grilo 0.3.4+7+gb144fe0-1
grilo-plugins 0.3.5+12+g7ecf4b2-1
groff 1.22.3-7
grub 2.03.0-5
gsettings-desktop-schemas 3.28.0+1+g85521dc-1
gsfonts 20170829-1
gsm 1.0.17-1
gsound 1.0.2-2
gspell 1.8.0-1
gssproxy 0.8.0-1
gst-libav 1.14.0-1
gst-plugins-bad 1.14.0-2
gst-plugins-base 1.14.0-1
gst-plugins-base-libs 1.14.0-1
gst-plugins-good 1.14.0-1
gst-plugins-ugly 1.14.0-1
gstreamer 1.14.0-1
gthumb 3.6.1-1
gtk-update-icon-cache 3.22.30-1
gtk2 2.24.32-1
gtk3 3.22.30-1
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview-pkgbuild 3-2
gtksourceview2 2.10.5-3
gtksourceview3 3.24.7-1
gtkspell3 3.0.9-3
gufw 18.04.0-1
gutenprint 5.2.14-1
gvfs 1.36.1-1
gvfs-afc 1.36.1-1
gvfs-goa 1.36.1-1
gvfs-google 1.36.1-1
gvfs-mtp 1.36.1-1
gvfs-smb 1.36.1-1
gzip 1.9-1
harfbuzz 1.7.6-2
harfbuzz-icu 1.7.6-2
haveged 1.9.1-4
hdparm 9.56-1
hexchat 2.14.1-2
hicolor-icon-theme 0.17-1
hplip 3.18.4-2
hspell 1.4-1
hunspell 1.6.2-1
hwids 20171003-1
hwinfo 21.52-1
hyphen 2.8.8-1
iana-etc 20180221-1
icu 61.1-1
ijs 0.35-1
ilmbase 2.2.1-1
imagemagick 7.0.7.28-1
imagewriter 1.10.1420800585.134a9b3-4
imlib2 1.5.1-1
inetutils 1.9.4-5
intel-ucode 20180312-0
inxi 3.0.07-1
iproute2 4.16.0-1
iptables 1.6.2-2
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
iso-codes 3.76-1
iw 4.14-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
java-runtime-common 3-1
jbig2dec 0.14-1
jfsutils 1.1.15-4
jre8-openjdk 8.u172-2
jre8-openjdk-headless 8.u172-2
js52 52.7.3-2
json-c 0.13-1
json-glib 1.4.2-2
kauth 5.45.0-1
kbd 2.0.4-1
kcoreaddons 5.45.0-1
kernel-alive 0.3-3
keyutils 1.5.10-1
kitemmodels 5.45.0-1
kmod 24-1
